Issue,  RRP (£), Faction, Contents
1, £2.99, "Space Marines, Necrons", "1x Primaris Lieutenant, 1x Royal Warden, 6x Dice, 1x Ruler"
2, £5.99, "Necrons, Painting and Modelling", "3x Necron Warriors, 1x Runelord Brass, 1x Starter Brush"
3, £8.99, "Space Marines, Painting and Modelling", "3x Assault Intercessors, 1x Macragge Blue"
4, £8.99, "Necrons, Painting and Modelling", "3x Skorpekh Destroyers, 1x Plasmacyte, 1x Leadbelcher"
5, £8.99, Space Marines, Primaris Captain
6, £8.99, "Space Marines, Painting and Modelling", "3x Primaris Aggressors, 1x Abaddon Black"
7, £8.99, Painting and Modelling, "1x Retributor Armour, 1x Corax White, 1x Mechanicus Standard Grey"
8, £8.99, Necrons, "Necron Overlord" 
9, £8.99, , 
10, £8.99, , 
11, £8.99, Space Marines, 1x Primaris Librarian in Photos Armour
12, £8.99, , 
13, £8.99, , 
14, £8.99, , 
15, £8.99, Necrons, "5x Flayed Ones"
16, £8.99, Space Marines, "5x Assault Intercessors"
17, £8.99, , "1x Munitorum Armoured Container"
18, £8.99, Necrons, "1x Necron Technomancer"
19, £8.99, , 
20, £8.99, , 
21, £8.99, , 
22, £8.99, , 
23, £8.99, , 
24, £8.99, , 
25, £8.99, , 
26, £8.99, , 
27, £8.99, , 
28, £8.99, , 
29, £8.99, , 
30, £8.99, , 
31, £8.99, , 
32, £8.99, , 
33, £8.99, , 
34, £8.99, , 
35, £8.99, , 
36, £8.99, , 
37, £8.99, , 
38, £8.99, , 
39, £8.99, , 
40, £8.99, , 
41, £8.99, , 
42, £8.99, , 
43, £8.99, , 
44, £8.99, , 
45, £8.99, , 
46, £8.99, , 
47, £8.99, , 
48, £8.99, , 
49, £8.99, , 
50, £8.99, , 
51, £8.99, , 
52, £8.99, , 
53, £8.99, , 
54, £8.99, , 
55, £8.99, , 
56, £8.99, , 
57, £8.99, , 
58, £8.99, , 
59, £8.99, Space Marines, "Primaris Outriders - Part 1" 
60, £8.99, Space Marines, "Primaris Outriders - Part 2" 
61, £8.99, Necrons, "1x Necron Tomb Blade"
62, £8.99, Painting and Modelling, "1x Calgar Blue, 1x Evil Suns Scarlet"
63, £8.99, , 
64, £8.99, , 
65, £8.99, , 
66, £8.99, , 
67, £8.99, , 
68, £8.99, , 
69, £8.99, , 
70, £8.99, , 
71, £8.99, , 
72, £8.99, , 
73, £8.99, , 
74, £8.99, , 
75, £8.99, , 
76, £8.99, , 
77, £8.99, , 
78, £8.99, , 
79, £8.99, , 
80, £8.99, , 
81, £8.99, , 
82, £8.99, , 
83, £8.99, Adepta Sororitas, "1x Paragon Warsuit"
84, £8.99, Adeptus Mechanicus, "1x Skitarii Marshall"
85, £8.99, Necrons, "1x Hexmark Destroyer"
86, £8.99, , 
87, £8.99, , 
88, £8.99, , 
89, £8.99, , 
90, £8.99, , 
